               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12417,             0.17176,                   0,           0.0026087,            0.019544,           0.0014353,          0.00044406,             0.12221,             0.16906,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.12489,             0.18173,                   0,           0.0028986,            0.021716,           0.0015649,           0.0003259,             0.12225,             0.16854,                   0,            0.088287,           0.0012871,           0.0012871
                   2,             0.12339,             0.16636,                   0,           0.0030435,            0.022801,           0.0016052,          0.00039726,             0.12188,             0.16947,                   0,             0.08196,           0.0019604,           0.0019604
                   3,             0.12278,             0.20237,                   0,           0.0027536,             0.02063,           0.0064103,          0.00089173,             0.12128,             0.17121,                   0,             0.07562,           0.0026198,           0.0026198
                   4,             0.12102,             0.19579,                   0,           0.0050725,            0.038002,           0.0027401,          0.00069483,             0.12064,             0.16429,                   0,            0.069265,           0.0032654,           0.0032654
                   5,                0.12,             0.16852,                   0,           0.0057971,            0.043431,           0.0056673,          0.00097482,             0.11855,             0.17233,                   0,            0.062897,            0.003897,            0.003897
                   6,             0.11978,             0.19018,                   0,           0.0057971,            0.043431,           0.0056673,          0.00097482,             0.11855,             0.17233,                   0,            0.056515,           0.0045149,           0.0045149
                   7,             0.11892,             0.18409,                   0,           0.0091304,            0.068404,           0.0053949,           0.0012681,             0.11682,             0.17845,                   0,            0.050119,           0.0051188,           0.0051188
                   8,             0.11768,             0.21808,                   0,            0.012464,            0.093377,            0.011598,           0.0024409,             0.11488,             0.18444,                   0,            0.043709,            0.005709,            0.005709
                   9,             0.11871,             0.21846,                   0,            0.012464,            0.093377,            0.011598,           0.0024409,             0.11488,             0.18444,                   0,            0.037285,           0.0062852,           0.0062852
                  10,             0.11403,             0.20839,                   0,            0.016812,             0.12595,            0.018049,           0.0042823,             0.11327,             0.18926,                   0,            0.030848,           0.0068476,           0.0068476
                  11,             0.11466,             0.17853,                   0,            0.016812,             0.12595,            0.018049,           0.0042823,             0.11327,             0.18926,                   0,            0.024396,           0.0073961,           0.0073961
                  12,             0.11696,             0.19526,                   0,            0.036589,            0.084691,            0.018693,           0.0042014,              0.1124,             0.18898,                   0,            0.017931,           0.0079308,           0.0079308
                  13,             0.11688,             0.21662,                   0,            0.036589,            0.084691,            0.018693,           0.0042014,              0.1124,             0.18898,                   0,            0.011452,           0.0084516,           0.0084516
                  14,             0.11386,             0.20185,                   0,            0.082678,            0.070575,            0.026147,           0.0067009,             0.11124,             0.18703,                   0,            0.008614,            0.008614,            0.008614
                  15,             0.11288,             0.19521,                   0,            0.082678,            0.070575,            0.026147,           0.0067009,             0.11124,             0.18703,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.11267,             0.20455,                   0,            0.081833,            0.085776,            0.028992,           0.0078169,             0.10999,             0.18444,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.11368,             0.22208,                   0,            0.081833,            0.085776,            0.028992,           0.0078169,             0.10999,             0.18444,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.11278,             0.20405,                   0,            0.081833,            0.085776,            0.028992,           0.0078169,             0.10999,             0.18444,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.11155,             0.19939,                   0,             0.10362,            0.092291,            0.037141,           0.0088608,              0.1099,             0.18074,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.11161,             0.21037,                   0,             0.10362,            0.092291,            0.037141,           0.0088608,              0.1099,             0.18074,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.11311,             0.20846,                   0,            0.098351,             0.12161,            0.038623,           0.0099723,             0.10728,             0.18195,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.11102,             0.21505,                   0,            0.098351,             0.12161,            0.038623,           0.0099723,             0.10728,             0.18195,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.11009,             0.21215,                   0,            0.087545,             0.11401,            0.038484,           0.0095976,             0.10642,             0.17678,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.11039,             0.22212,                   0,            0.087545,             0.11401,            0.038484,           0.0095976,             0.10642,             0.17678,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.10869,             0.22452,                   0,            0.095768,             0.15092,            0.039881,            0.010413,              0.1061,             0.17278,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.10792,             0.20254,                   0,            0.095768,             0.15092,            0.039881,            0.010413,              0.1061,             0.17278,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.10785,             0.19993,                   0,            0.095768,             0.15092,            0.039881,            0.010413,              0.1061,             0.17278,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.10616,             0.21516,                   0,             0.11487,             0.15418,            0.054322,            0.013803,             0.10403,             0.17411,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.10411,              0.1867,                   0,             0.11487,             0.15418,            0.054322,            0.013803,             0.10403,             0.17411,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.10523,             0.19325,                   0,             0.12276,             0.18567,            0.050224,            0.013016,             0.10413,             0.16942,                   0,            0.007129,            0.007129,            0.007129
                  31,             0.10557,             0.19819,                   0,             0.12276,             0.18567,            0.050224,            0.013016,             0.10413,             0.16942,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.10477,             0.21505,                   0,             0.12823,             0.18784,            0.053972,            0.013859,             0.10654,             0.16637,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.10713,             0.20732,                   0,             0.12823,             0.18784,            0.053972,            0.013859,             0.10654,             0.16637,                   0,            0.006832,            0.006832,            0.006832
